feature,family,selected_folds,selection_freq,mean_votes_when_counting_all_folds,max_votes,stable,rank_score,RFE_count,Spearman_count,Chi2_count,LogReg_count,LightGBM_count,RandomForest_count
original_glszm_ZoneEntropy,glszm,0,0.0,1.2,3,0,0.0,3,0,0,2,0,1
original_glszm_ZoneVariance,glszm,0,0.0,2.0,3,0,0.0,3,2,2,3,0,0
original_ngtdm_Coarseness,ngtdm,0,0.0,2.2,3,0,0.0,0,5,1,0,0,5
original_ngtdm_Contrast,ngtdm,0,0.0,2.4,3,0,0.0,4,0,1,4,0,3
gradient_firstorder_90Percentile,firstorder,0,0.0,0.6,2,0,0.0,1,0,0,2,0,0
gradient_glcm_ClusterShade,glcm,0,0.0,0.6,2,0,0.0,1,0,0,1,0,1
gradient_glcm_DifferenceVariance,glcm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
gradient_glcm_Idn,glcm,0,0.0,0.8,2,0,0.0,0,2,0,2,0,0
gradient_glcm_SumEntropy,glcm,0,0.0,1.6,2,0,0.0,4,0,0,4,0,0
gradient_gldm_DependenceEntropy,gldm,0,0.0,1.2,2,0,0.0,2,0,0,3,0,1
gradient_gldm_DependenceNonUniformityNormalized,gldm,0,0.0,1.2,2,0,0.0,1,0,5,0,0,0
gradient_gldm_LargeDependenceEmphasis,gldm,0,0.0,1.8,2,0,0.0,4,0,0,5,0,0
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,0,0.0,0.8,2,0,0.0,2,0,0,2,0,0
gradient_gldm_LowGrayLevelEmphasis,gldm,0,0.0,1.4,2,0,0.0,4,0,0,3,0,0
gradient_gldm_SmallDependenceEmphasis,gldm,0,0.0,1.6,2,0,0.0,4,0,0,4,0,0
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,0,0.0,0.6,2,0,0.0,2,0,0,1,0,0
gradient_glrlm_LongRunEmphasis,glrlm,0,0.0,0.6,2,0,0.0,2,0,0,1,0,0
gradient_glrlm_LowGrayLevelRunEmphasis,glrlm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
gradient_glrlm_RunEntropy,glrlm,0,0.0,1.0,2,0,0.0,2,0,0,3,0,0
gradient_glrlm_RunLengthNonUniformityNormalized,glrlm,0,0.0,1.2,2,0,0.0,3,0,0,3,0,0
gradient_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,0,0.0,0.8,2,0,0.0,2,0,0,2,0,0
gradient_glszm_SizeZoneNonUniformityNormalized,glszm,0,0.0,2.0,2,0,0.0,5,0,0,5,0,0
gradient_glszm_ZonePercentage,glszm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
gradient_glszm_ZoneVariance,glszm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
gradient_ngtdm_Contrast,ngtdm,0,0.0,1.4,2,0,0.0,2,0,1,1,0,3
original_firstorder_Range,firstorder,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
original_glcm_Autocorrelation,glcm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
original_glcm_DifferenceEntropy,glcm,0,0.0,1.6,2,0,0.0,4,0,0,4,0,0
original_glcm_Idn,glcm,0,0.0,1.4,2,0,0.0,0,5,1,0,0,1
original_glcm_JointAverage,glcm,0,0.0,1.2,2,0,0.0,2,0,0,4,0,0
original_glcm_JointEntropy,glcm,0,0.0,0.6,2,0,0.0,1,0,0,1,0,1
original_glcm_SumEntropy,glcm,0,0.0,0.6,2,0,0.0,1,0,0,2,0,0
original_gldm_DependenceNonUniformity,gldm,0,0.0,1.6,2,0,0.0,0,5,1,1,0,1
original_gldm_SmallDependenceEmphasis,gldm,0,0.0,0.4,2,0,0.0,1,0,0,1,0,0
original_glrlm_RunLengthNonUniformityNormalized,glrlm,0,0.0,1.6,2,0,0.0,4,0,0,4,0,0
original_glrlm_RunVariance,glrlm,0,0.0,1.6,2,0,0.0,4,0,0,4,0,0
original_glrlm_ShortRunEmphasis,glrlm,0,0.0,0.6,2,0,0.0,2,0,0,1,0,0
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,0,0.0,1.8,2,0,0.0,0,4,5,0,0,0
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,0,0.0,0.6,2,0,0.0,1,0,2,0,0,0
gradient_firstorder_Kurtosis,firstorder,0,0.0,0.2,1,0,0.0,0,0,0,0,0,1
gradient_firstorder_Median,firstorder,0,0.0,0.8,1,0,0.0,0,0,4,0,0,0
gradient_firstorder_RootMeanSquared,firstorder,0,0.0,0.2,1,0,0.0,1,0,0,0,0,0
gradient_firstorder_Skewness,firstorder,0,0.0,0.2,1,0,0.0,0,0,0,1,0,0
gradient_glcm_Autocorrelation,glcm,0,0.0,0.8,1,0,0.0,0,0,4,0,0,0
gradient_glcm_InverseVariance,glcm,0,0.0,0.2,1,0,0.0,1,0,0,0,0,0
gradient_gldm_DependenceVariance,gldm,0,0.0,0.4,1,0,0.0,0,0,2,0,0,0
gradient_gldm_HighGrayLevelEmphasis,gldm,0,0.0,0.4,1,0,0.0,1,0,1,0,0,0
gradient_glrlm_HighGrayLevelRunEmphasis,glrlm,0,0.0,0.4,1,0,0.0,1,0,1,0,0,0
gradient_glrlm_RunVariance,glrlm,0,0.0,0.2,1,0,0.0,1,0,0,0,0,0
gradient_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,0,0.0,0.4,1,0,0.0,1,0,1,0,0,0
gradient_glszm_LargeAreaHighGrayLevelEmphasis,glszm,0,0.0,0.2,1,0,0.0,0,0,0,1,0,0
original_firstorder_Kurtosis,firstorder,0,0.0,0.4,1,0,0.0,0,0,0,0,0,2
original_firstorder_Minimum,firstorder,0,0.0,0.2,1,0,0.0,0,0,0,0,0,1
original_firstorder_Skewness,firstorder,0,0.0,0.6,1,0,0.0,0,0,0,1,0,2
original_glcm_ClusterShade,glcm,0,0.0,0.4,1,0,0.0,0,0,0,0,0,2
original_glcm_Id,glcm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_glcm_Idm,glcm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_glcm_InverseVariance,glcm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_glcm_SumSquares,glcm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_gldm_DependenceEntropy,gldm,0,0.0,0.4,1,0,0.0,0,0,0,0,0,2
original_gldm_LargeDependenceEmphasis,gldm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_gldm_LowGrayLevelEmphasis,gldm,0,0.0,0.2,1,0,0.0,0,0,1,0,0,0
original_glszm_SizeZoneNonUniformityNormalized,glszm,0,0.0,0.8,1,0,0.0,0,0,0,0,0,4
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,0,0.0,0.8,1,0,0.0,4,0,0,0,0,0
gradient_firstorder_Entropy,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_InterquartileRange,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_Maximum,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_Mean,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_MeanAbsoluteDeviation,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_Range,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_RobustMeanAbsoluteDeviation,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_Uniformity,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_firstorder_Variance,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_ClusterProminence,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_ClusterTendency,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_Correlation,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_DifferenceAverage,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_DifferenceEntropy,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_Id,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_Idm,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_JointAverage,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_JointEnergy,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_JointEntropy,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_MaximumProbability,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glcm_SumSquares,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_gldm_GrayLevelVariance,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glrlm_GrayLevelNonUniformityNormalized,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glrlm_GrayLevelVariance,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glrlm_RunPercentage,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glrlm_ShortRunEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_GrayLevelNonUniformityNormalized,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_GrayLevelVariance,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_HighGrayLevelZoneEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_LargeAreaEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_LargeAreaLowGrayLevelEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_LowGrayLevelZoneEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_SmallAreaEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_SmallAreaHighGrayLevelEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_glszm_SmallAreaLowGrayLevelEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
gradient_ngtdm_Complexity,ngtdm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_10Percentile,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_90Percentile,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Entropy,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_InterquartileRange,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Maximum,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Mean,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_MeanAbsoluteDeviation,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Median,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_RootMeanSquared,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Uniformity,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_firstorder_Variance,firstorder,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glcm_ClusterProminence,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glcm_ClusterTendency,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glcm_Correlation,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glcm_JointEnergy,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glcm_MaximumProbability,glcm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_gldm_GrayLevelVariance,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_gldm_HighGrayLevelEmphasis,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_GrayLevelVariance,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_HighGrayLevelRunEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_LongRunEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_RunPercentage,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_GrayLevelNonUniformityNormalized,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_GrayLevelVariance,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_HighGrayLevelZoneEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_LargeAreaEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_SmallAreaEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_glszm_ZonePercentage,glszm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
original_ngtdm_Complexity,ngtdm,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
